Id,Title,Review,Label
1,Most overrated destination in kerala,"I had a high expectations seeing this place in pictures, when I actually visited the place and roam in house boat through water canal I realised it's not worth my money or time. Canal were dirty like drainage in the city.

Definitely avoidable.",2
2,Venice of the East,"Popularly known as'Venice of the East' Alleppey is world wide famous for beautiful backwaters crisscrossing the town and huge waterboats floating slowing on the water channels. People of Alleppey use small boats to travel from one place to another for their daily cores. Backwaters are the lifeline of Alleppey and every native owns a small or big boats. Lined with coconut trees on both sides a house boat slowly moves through the emerald world reflecting green all over the water with floating plant, white and purple flowers over the water, a heaven for every tourist, mesmerised with its pristine beauty, untouched so natural that the land is called God's own country., apromise every tourist makes to come again and again to beautiful Alleppey.Alleppey is the most visited place in South India by Foriegn tourists, and one of the popular Indian tourist destinations in the world.",3
3,Alleppey is most polluted city,"Hai friends, today I am telling you my bad experience of alleppey town.

One month before I am going alleppey in look in one bike purchase. Alleppey is a most pollutted city. Any sides only show in the wastes. The lake is always very polluted. Some house toilet tank pipe connected in backwaters. The waste on the road sides and very bad smell. Fish waste is deposit the backwaters.

I no see the good hotels and restuarants in alleppey. Small and not highgenic hotels only in the alleppey. I am go one hotel. The hotel any plates got in fish smell and I am not eating food from the hotel. Very bad place is alleppey.",1
4,Alleppey,"Alleppey is one the best place to visit in Kerala. I already went to 2 to 3 times still having the same excitement. The best time is to go there is between September to December. Quiet nice beaches and hotel

Please be aware there are some brokers who will make you charge more and suggest a very simple hotel.",4
5,ABOUT EXPENSIVE ALLEPPEY TRIP,"Alleppey one of the famous district in kerala. The real name is ALAPPUZA. It is one of the famous place in kerala. The main attraction is beauty of back water trip and tasty fishes.

In previous year I planned a trip to alleppy. It was a big family trip. Me and my husband was the organizers of this trip. My friend said to me this is one of the beautiful tripping place. So I forced my husband. finally he agreed to my argument.

But my plan was totally failed. Because it was a rainy season. We went their at night. In first day I understand, there is no good resorts or hotels. Every fecilitys are very expensive. Tomorrow morning we went boat jetty( boat stand) . Our aim was house boat trip. We already booked a 4 bedroom attached house boat. We are two family's. It was One day and one night trip. The total cost is 30000 rupees. It is very high amount for this fecilitys . I expect very lexuary fecilitys. But it was totally gone. Only food and accommodation needs this much money?

The only one benefit is enjoying the back water beauty. The another important thing I noticed that every product has high prices their. They are maximum exploited tourists. But fish dishes are very tasty. Especially my favorite Karimeen. According to me my alleppy trip was not successful compared to my another trip. Because my budget planning is completely failed. It was too expensive. But views are very less.",1
6,A journey to know the real backwater life,"An'Alleppey' journey it was my dream from childhood because it is imprinted in my mind buy hearing and readin from books and television. Alleppey also known as the eastern beanies because it is a collection of village that situated in Backwater. Now it is the time to go to Alleppy, we decide to go to Aleppy actually it was my suggest.

Kuttanad is our destinations. When we reach at kuttanad our aide Raj was waiting for me. we already booked our Houseboat which have four bedrooms, kitchen and clean bathrooms. we have 24 hours to spent in this boat so we were very, very happy.

We started our journey by house boat it was really different experience about me. A day in backwater wow!. our lunch was ready on the time 1.00 Pm Rice, karimeen pollichethu, aviyil sambar.total full food on the table. we eat all food without any lazy.

after a sleep I weak up .Now we are going to Kumarakham it is the world birds and small creation. it is also know as The land of Salim ali. we toddle till even dusk in Kumarakham then retteun to houseboat.

How to reach.

Alapuza railway station in nearest station. and I t is well connected to other city's in Kerala.",4
7,WONDERFUL PLACE TO VISIT,"We all know that allappey is from Kerala because of that awesome movie named VINNAITHANDI VARUVAYA. Like that movie the place was very lovely in nature and wonderful place to visit in Kerala, I would say that best place in Kerala. conventionally it is memorable for BOATHOUSE and is known for backwaters.ACCESSIBILITY of this place is terrific.This place is known for great site seeing and it is very chilly, there were all coconut trees, boats, ships and very refreshing climate. Allappey is also called as alappuzha. The alappuzha beach was formidable and very long beach.I would say SAFETY highly masked wherever I went I resemble this one, Everyone should watch this place.The other captivation of allappey are Ambalappuzha sri Krishna temple, CSI alappuzha christchurch, laccadive sea, lots of temple proximate.Boating was a unthinkable and I also got license to go inside.The hotel are very nearby and they serve a good food, the hotel environment was very clean and safety to people.For our safety there are police, speedboats are always there to safe us.I never forgotten this trip and I have a lots of fun, please visit this place and enjoy yourself.",5
8,ALLEPEY- Waste of Time,"I am sankarsh and I am here to review one of the worst places I have ever been to. The beaches are also not very good and clean as many boats are accessed. The weather in this place is worst. And if it’s starts raining it will never stop. And resorts and hotels in this place are very less. Though accessibility to this place is very easy. Never ever think to go to this place. Instead you can visit thekkady which is nearby and looks very beautiful. And this place doesn’t look that safe for tourists as this place is filled with Muslims. You can visit this place but please don’t stay, it is not worth staying in this place.",1
9,Amazing place of alleppey,"Last year during my school trip we visited Kerala. Alleppey is one of the place we visited there.

It was really fantastic and mostly it was romantic.

Generally it is famous for boathouse.

We reached Kerala by Train we accessed to Alleppey through bus.

So you can reach the place by train, flight or bus. Accessibility is easy together.

Here I will share my personal experience about the place in Alleppey.

Alleppey is also so called Alappuzha.

We first visited Allappuzha Beach which was a really calm place and we had a

great sight seeing. It is a very long beach and also near by saw a lighthouse there.

Pandavan rock is a kind of picnic spot. There we saw a cave and we got the

information that Pandavas were stayed inside the cave! one of the most wonderful place.

Sea view park which was very near to Alappuzha beach were boating will be

available and also we have to a ticket to go inside.

Chammanad Devi temple which was located on the highway. It was really amazing architecture.

Still there were several places to visit like islands, boating place etc., But due to lack of time we couldn't able to visit all places. Churches are available.

The hotels were very good this place of near hotel will be so clean. Proper service will be provided.

Visit during September or October the climate condition is fabulous.

It was really safe and secure over there.

Best place to visit! and Romantic place also!",5
10,A must visit for Backwaters tour.,"We went on a weekend trip to allepey and had hired a shikara for boating. Shikara boats are available on an hourly basis and it's preferable to take a Shikara during the sunrise hour. The shikaras take you through the canals and lead

you to the enchanting scenic beauty of the backwaters. The boatman takes you through the channels of backwaters where get through the arch of coconut trees. The gentle cool breeze adds a sense of relaxation to your mood. And of course the boatman takes you to a shore where you get to have sweet coconut water and if lucky you get to take some clicks with the elegant kite. The entire experience was heavenly. It's a must visit for evey traveloholic person.",3
